title,description,release,director,rating,duration,votes,genre,stars,budget ($ Mil),Rating / Votes
Mad Max: Fury Road,"In a post-apocalyptic wasteland, a woman rebels against a tyrannical ruler in search for her homeland with the aid of a group of female prisoners, a psychotic worshiper, and a drifter named Max.",2015,George Miller,8.1,120,872463,"Action, Adventure, Sci-Fi","Tom Hardy, Charlize Theron, Nicholas Hoult, ZoÃ« Kravitz",154.06,0.09284061329821436
Gone Girl,"With his wife's disappearance having become the focus of an intense media circus, a man sees the spotlight turned on him when it's suspected that he may not be innocent.",2014,David Fincher,8.1,149,850088,"Drama, Mystery, Thriller","Ben Affleck, Rosamund Pike, Neil Patrick Harris, Tyler Perry",167.77,0.09528425292440312
Die Hard,An NYPD officer tries to save his wife and several others taken hostage by German terrorists during a Christmas party at the Nakatomi Plaza in Los Angeles.,1988,John McTiernan,8.2,132,779370,"Action, Thriller","Bruce Willis, Alan Rickman, Bonnie Bedelia, Reginald VelJohnson",83.01,0.10521318500840422
Black Swan,"A committed dancer struggles to maintain her sanity after winning the lead role in a production of Tchaikovsky's ""Swan Lake"".",2010,Darren Aronofsky,8.0,108,694448,"Drama, Thriller","Natalie Portman, Mila Kunis, Vincent Cassel, Winona Ryder",106.95,0.11519941017901988
X-Men: Days of Future Past,The X-Men send Wolverine to the past in a desperate effort to change history and prevent an event that results in doom for both humans and mutants.,2014,Bryan Singer,7.9,132,656330,"Action, Adventure, Sci-Fi","Patrick Stewart, Ian McKellen, Hugh Jackman, James McAvoy",233.92,0.12036627915835023
Logan,"In a future where mutants are nearly extinct, an elderly and weary Logan leads a quiet life. But when Laura, a mutant child pursued by scientists, comes to him for help, he must get her to safety.",2017,James Mangold,8.1,137,640427,"Action, Drama, Sci-Fi","Hugh Jackman, Patrick Stewart, Dafne Keen, Boyd Holbrook",226.28,0.1264781153823933
Aliens,"Fifty-seven years after surviving an apocalyptic attack aboard her space vessel by merciless space creatures, Officer Ripley awakens from hyper-sleep and tries to warn anyone who will listen about the predators.",1986,James Cameron,8.3,137,648225,"Action, Adventure, Sci-Fi","Sigourney Weaver, Michael Biehn, Carrie Henn, Paul Reiser",85.16,0.12804196073894097
Kingsman: The Secret Service,"A spy organisation recruits a promising street kid into the agency's training program, while a global threat emerges from a twisted tech genius.",2014,Matthew Vaughn,7.7,129,586330,"Action, Adventure, Comedy","Colin Firth, Taron Egerton, Samuel L. Jackson, Michael Caine",128.26,0.13132536285027205
Argo,"Acting under the cover of a Hollywood producer scouting a location for a science fiction film, a CIA agent launches a dangerous operation to rescue six Americans in Tehran during the U.S. hostage crisis in Iran in 1979.",2012,Ben Affleck,7.7,120,568892,"Biography, Drama, Thriller","Ben Affleck, Bryan Cranston, John Goodman, Alan Arkin",136.03,0.13535082230019055
Taken,"A retired CIA agent travels across Europe and relies on his old skills to save his estranged daughter, who has been kidnapped while on a trip to Paris.",2008,Pierre Morel,7.8,90,562306,"Action, Thriller","Liam Neeson, Maggie Grace, Famke Janssen, Leland Orser",145.0,0.13871450775912048
